"caller","col1","callee"
"__ia32_sys_io_submit","calls","__se_sys_io_submit"
"__ia32_sys_io_submit","calls","sys_ni_syscall"
"__x64_sys_io_submit","calls","__se_sys_io_submit"
"__x64_sys_io_submit","calls","sys_ni_syscall"
"__x64_sys_io_submit","calls","__se_sys_io_submit"
"__x64_sys_io_submit","calls","sys_ni_syscall"
"__ia32_sys_io_destroy","calls","__se_sys_io_destroy"
"__ia32_sys_io_destroy","calls","sys_ni_syscall"
"__ia32_sys_io_destroy","calls","__se_sys_io_destroy"
"__ia32_sys_io_destroy","calls","sys_ni_syscall"
"__x64_sys_io_destroy","calls","__se_sys_io_destroy"
"__x64_sys_io_destroy","calls","sys_ni_syscall"
"__x64_sys_io_destroy","calls","__se_sys_io_destroy"
"__x64_sys_io_destroy","calls","sys_ni_syscall"
"__ia32_compat_sys_io_setup","calls","__se_compat_sys_io_setup"
"__ia32_compat_sys_io_setup","calls","sys_ni_syscall"
"__ia32_compat_sys_io_setup","calls","__se_compat_sys_io_setup"
"__ia32_compat_sys_io_setup","calls","sys_ni_syscall"
"__ia32_sys_io_setup","calls","__se_sys_io_setup"
"__ia32_sys_io_setup","calls","sys_ni_syscall"
"__ia32_sys_io_setup","calls","__se_sys_io_setup"
"__ia32_sys_io_setup","calls","sys_ni_syscall"
"__x64_sys_io_setup","calls","__se_sys_io_setup"
"__x64_sys_io_setup","calls","sys_ni_syscall"
"__x64_sys_io_setup","calls","__se_sys_io_setup"
"__x64_sys_io_setup","calls","sys_ni_syscall"
"__ia32_sys_eventfd","calls","__se_sys_eventfd"
"__ia32_sys_eventfd","calls","sys_ni_syscall"
"__ia32_sys_eventfd","calls","__se_sys_eventfd"
"__ia32_sys_eventfd","calls","sys_ni_syscall"
"__x64_sys_eventfd","calls","__se_sys_eventfd"
"__x64_sys_eventfd","calls","sys_ni_syscall"
"__x64_sys_eventfd","calls","__se_sys_eventfd"
"__x64_sys_eventfd","calls","sys_ni_syscall"
"__ia32_sys_eventfd2","calls","__se_sys_eventfd2"
"__ia32_sys_eventfd2","calls","sys_ni_syscall"
"__ia32_sys_eventfd2","calls","__se_sys_eventfd2"
"__ia32_sys_eventfd2","calls","sys_ni_syscall"
"__x64_sys_eventfd2","calls","__se_sys_eventfd2"
"__x64_sys_eventfd2","calls","sys_ni_syscall"
"__x64_sys_eventfd2","calls","__se_sys_eventfd2"
"__x64_sys_eventfd2","calls","sys_ni_syscall"
"__ia32_compat_sys_open_by_handle_at","calls","__se_compat_sys_open_by_handle_at"
"__ia32_compat_sys_open_by_handle_at","calls","sys_ni_syscall"
"__ia32_compat_sys_open_by_handle_at","calls","__se_compat_sys_open_by_handle_at"
"__ia32_compat_sys_open_by_handle_at","calls","sys_ni_syscall"
"__ia32_sys_open_by_handle_at","calls","__se_sys_open_by_handle_at"
